brand,country,channel,store_code,store_name,expense_category,account_name,account_name_en,account_name_clean,account_level,parent_account_name,account_group_name,year,amount,source_column,source_row
M,HK,리테일,M05,LCX,직접비,- Mall Coupon,- Mall Coupon,Mall Coupon,child,9. 광고선전비,9. 광고선전비,2023,306.99999,23년 합계,160
M,HK,리테일,M05,LCX,직접비,- Mall Coupon,- Mall Coupon,Mall Coupon,child,9. 광고선전비,9. 광고선전비,2024,0,24년 합계,160
M,HK,리테일,M05,LCX,직접비,- Mall Coupon,- Mall Coupon,Mall Coupon,child,9. 광고선전비,9. 광고선전비,2025,0,25년 합계,160
M,HK,리테일,M05,LCX,직접비,- Mall Coupon,- Mall Coupon,Mall Coupon,child,9. 광고선전비,9. 광고선전비,2026,0,26년 합계,160
M,HK,리테일,M05,LCX,직접비,- KOL / other,- KOL / other,KOL / other,child,9. 광고선전비,9. 광고선전비,2022,42.66988,22년 합계,161
M,HK,리테일,M05,LCX,직접비,- KOL / other,- KOL / other,KOL / other,child,9. 광고선전비,9. 광고선전비,2023,72.69220000000001,23년 합계,161
M,HK,리테일,M05,LCX,직접비,- KOL / other,- KOL / other,KOL / other,child,9. 광고선전비,9. 광고선전비,2024,15.84192,24년 합계,161
M,HK,리테일,M05,LCX,직접비,- KOL / other,- KOL / other,KOL / other,child,9. 광고선전비,9. 광고선전비,2025,31.57045,25년 합계,161
M,HK,리테일,M05,LCX,직접비,- KOL / other,- KOL / other,KOL / other,child,9. 광고선전비,9. 광고선전비,2026,34.77532,26년 합계,161
M,HK,리테일,M05,LCX,직접비,10. 지급수수료,10. Service Fees,10. 지급수수료,parent,,10. 지급수수료,2022,342.36139,22년 합계,162
M,HK,리테일,M05,LCX,직접비,10. 지급수수료,10. Service Fees,10. 지급수수료,parent,,10. 지급수수료,2023,222.30419000000003,23년 합계,162
M,HK,리테일,M05,LCX,직접비,10. 지급수수료,10. Service Fees,10. 지급수수료,parent,,10. 지급수수료,2024,163.19117,24년 합계,162
M,HK,리테일,M05,LCX,직접비,10. 지급수수료,10. Service Fees,10. 지급수수료,parent,,10. 지급수수료,2025,132.06362,25년 합계,162
M,HK,리테일,M05,LCX,직접비,10. 지급수수료,10. Service Fees,10. 지급수수료,parent,,10. 지급수수료,2026,177.46906,26년 합계,162
M,HK,리테일,M05,LCX,직접비,11. 운반비,11. Freight Expense,11. 운반비,parent,,11. 운반비,2022,683.1995299999999,22년 합계,163
M,HK,리테일,M05,LCX,직접비,11. 운반비,11. Freight Expense,11. 운반비,parent,,11. 운반비,2023,971.42315,23년 합계,163
M,HK,리테일,M05,LCX,직접비,11. 운반비,11. Freight Expense,11. 운반비,parent,,11. 운반비,2024,715.06727,24년 합계,163
M,HK,리테일,M05,LCX,직접비,11. 운반비,11. Freight Expense,11. 운반비,parent,,11. 운반비,2025,577.9124999999999,25년 합계,163
M,HK,리테일,M05,LCX,직접비,11. 운반비,11. Freight Expense,11. 운반비,parent,,11. 운반비,2026,554.55405,26년 합계,163
M,HK,리테일,M05,LCX,직접비,12. 기타 수수료(매장관리비 외),12. Other Fees (Excl. Store Overheads),12. 기타 수수료(매장관리비 외),parent,,12. 기타 수수료(매장관리비 외),2022,524.17055,22년 합계,164
M,HK,리테일,M05,LCX,직접비,12. 기타 수수료(매장관리비 외),12. Other Fees (Excl. Store Overheads),12. 기타 수수료(매장관리비 외),parent,,12. 기타 수수료(매장관리비 외),2023,545.7527799999999,23년 합계,164
M,HK,리테일,M05,LCX,직접비,12. 기타 수수료(매장관리비 외),12. Other Fees (Excl. Store Overheads),12. 기타 수수료(매장관리비 외),parent,,12. 기타 수수료(매장관리비 외),2024,528.60466,24년 합계,164
M,HK,리테일,M05,LCX,직접비,12. 기타 수수료(매장관리비 외),12. Other Fees (Excl. Store Overheads),12. 기타 수수료(매장관리비 외),parent,,12. 기타 수수료(매장관리비 외),2025,558.75754,25년 합계,164
